Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	ObservationDateBegin	ObservationDateEnd	Projection	Longitude	Latitude	Altitude	MeasurementType	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	IE0001R	SPO.IE.IE0001RSample1_7	SPP.IE.IE0001RSample1_7	SAM.IE.IE0001RSAMPLE1	O3	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	2001-01-01 00:00:00.0000000		EPSG:4979	-10.240833	51.938056	10	automatic	background	suburban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E	2	0	0
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	IE0001R	SPO.IE.IE0001RSample2_7012	SPP.IE.IE0001RSample2_7012	SAM.IE.IE0001RSAMPLE2	Pb	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012	2001-01-01 00:00:00.0000000		EPSG:4979	-10.240833	51.938056	10	active	background	suburban	ref		2	0	0
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	IE0001R	SPO.IE.IE0001RSample2_7014	SPP.IE.IE0001RSample2_7014	SAM.IE.IE0001RSAMPLE2	Cd	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7014	2001-01-01 00:00:00.0000000		EPSG:4979	-10.240833	51.938056	10	active	background	suburban	ref		2	0	0
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	IE0001R	SPO.IE.IE0001RSample2_7015	SPP.IE.IE0001RSample2_7015	SAM.IE.IE0001RSAMPLE2	Ni	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7015	2001-01-01 00:00:00.0000000		EPSG:4979	-10.240833	51.938056	10	active	background	suburban	ref		2	0	0
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE0001R	IE0001R	IE0001R	SPO.IE.IE0001RSample2_7018	SPP.IE.IE0001RSample2_7018	SAM.IE.IE0001RSAMPLE2	As	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7018	2001-01-01 00:00:00.0000000		EPSG:4979	-10.240833	51.938056	10	active	background	suburban	ref		2	0	0
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001AP	IE001AP	IE001AP	SPO.IE.IE001APSample1_5	SPP.IE.IE001APSample1_5	SAM.IE.IE001APSAMPLE1	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2013-12-01 00:00:00.0000000		EPSG:4979	-6.30902	53.336295	10	active	traffic	suburban	yes		4	5	5
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	IE001BP	SPO.IE.IE001BPSample1_1	SPP.IE.IE001BPSample1_1	SAM.IE.IE001BPSAMPLE1	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2013-01-01 00:00:00.0000000		EPSG:4979	-8.475	51.911111	10	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E	2	100	10
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	IE001BP	SPO.IE.IE001BPSample1_7	SPP.IE.IE001BPSample1_7	SAM.IE.IE001BPSAMPLE1	O3	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	2013-01-01 00:00:00.0000000		EPSG:4979	-8.475	51.911111	10	automatic	traffic	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API400E	2	100	10
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	IE001BP	SPO.IE.IE001BPSample1_8	SPP.IE.IE001BPSample1_8	SAM.IE.IE001BPSAMPLE1	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2013-01-01 00:00:00.0000000		EPSG:4979	-8.475	51.911111	10	automatic	traffic	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E	2	100	10
IE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	http://erc.epa.ie/airquality/ipr	NET.IE001	STA.IE.IE001BP	IE001BP	IE001BP	SPO.IE.IE001BPSample1_9	SPP.IE.IE001BPSample1_9	SAM.IE.IE001BPSAMPLE1	NOX as NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9	2013-01-01 00:00:00.0000000		EPSG:4979	-8.475	51.911111	10	automatic	traffic	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API200E	2	100	10
